location,datetime,tempmax,dew,humidity,solarradiation
homagama,2016-01-01,32.1,22.9,76.7,194.7
homagama,2016-01-02,30.1,22.5,77.5,199.8
homagama,2016-01-03,32.8,22,71.3,243
homagama,2016-01-04,33.1,22.9,74.3,221.1
homagama,2016-01-05,32.1,23.4,77.8,222.9
homagama,2016-01-06,33.1,23.3,79.7,221.4
homagama,2016-01-07,32.1,22,71.6,181.3
homagama,2016-01-08,32.1,21.7,69.4,216.6
homagama,2016-01-09,33.1,21.6,68,238.2
homagama,2016-01-10,33.1,21.8,69.2,148.1
homagama,2016-01-11,33.1,21.6,68.3,240.4
homagama,2016-01-12,32.1,20.6,66.8,253.9
homagama,2016-01-13,32.2,20.3,68.2,203.8
homagama,2016-01-14,31.5,19.8,68.4,243
homagama,2016-01-15,31.1,20.1,72,214.8
homagama,2016-01-16,32.1,21.8,75.6,268.4
homagama,2016-01-17,33.1,20.9,70.5,268.1
homagama,2016-01-18,31.1,21.9,76,270.9
homagama,2016-01-19,31.1,22.5,78.7,255.6
homagama,2016-01-20,31.3,23.5,78.6,238.8
homagama,2016-01-21,33.1,23.1,75.2,199.7
homagama,2016-01-22,33.1,22.4,72.6,211.4
homagama,2016-01-23,33.1,23,75.1,229.9
homagama,2016-01-24,33.1,22.8,73,237.5
homagama,2016-01-25,35.1,22.7,71.9,237.3
homagama,2016-01-26,36.1,21.8,67.5,242.5
homagama,2016-01-27,34.1,19.5,62.7,281.3
homagama,2016-01-28,32.1,20.9,73.6,264.2
homagama,2016-01-29,31.1,21.4,74.3,249.5
homagama,2016-01-30,32.1,19.1,65.2,241.2
homagama,2016-01-31,31.4,20.3,69.1,261.2
homagama,2016-02-01,32.1,20.4,66.9,239
homagama,2016-02-02,32.1,19.6,64.5,246.2
homagama,2016-02-03,35.1,18.2,59.7,268.6
homagama,2016-02-04,33.1,19,63,271.4
homagama,2016-02-05,32.1,20.4,65.5,207.9
homagama,2016-02-06,33.1,22.3,70.4,231.3
homagama,2016-02-07,32.1,23.2,75.2,140.1
homagama,2016-02-08,34.1,23.5,75.5,237
homagama,2016-02-09,32.4,24.3,77.2,226.8
homagama,2016-02-10,32.1,23.9,78.3,242.2
homagama,2016-02-11,33.1,23.1,75.1,265.4
homagama,2016-02-12,32.1,22.5,75.1,281
homagama,2016-02-13,31.1,22.5,74.6,241.9
homagama,2016-02-14,31.1,22.9,74.4,241.1
homagama,2016-02-15,33.1,23,79.2,204.5
homagama,2016-02-16,34.1,20.9,67.1,194.4
homagama,2016-02-17,33.2,22.1,68.3,202.3
homagama,2016-02-18,34.1,23.9,79.6,217
homagama,2016-02-19,32.1,24,81,245.9
homagama,2016-02-20,31.3,24.2,85.2,223.8
homagama,2016-02-21,33.4,23.8,79.5,281.9
homagama,2016-02-22,35.1,23.7,73,280.9
homagama,2016-02-23,31.8,23.1,72.7,240.9
homagama,2016-02-24,32.2,21.6,68.2,264.6
homagama,2016-02-25,32.6,23.1,77.2,251.3
homagama,2016-02-26,32.1,23.2,76.7,283.6
homagama,2016-02-27,35.1,23.5,74.8,273.1
homagama,2016-02-28,35.1,22.7,70.6,258.1
homagama,2016-02-29,36.1,23,70.8,268.9
homagama,2016-03-01,35.1,23.5,73.7,261.8
homagama,2016-03-02,34.1,22.8,70.2,286.2
homagama,2016-03-03,35.1,22.1,66.9,280.4
homagama,2016-03-04,36.1,22.9,68.2,236.6
homagama,2016-03-05,34.1,23.8,73.1,218.4
homagama,2016-03-06,32.7,24.3,74.7,262.7
homagama,2016-03-07,32.6,24,75.5,246.1
homagama,2016-03-08,32.6,24.2,76.4,251.8
homagama,2016-03-09,32.2,24.4,78.8,279.1
homagama,2016-03-10,33,24.6,75.3,254.1
homagama,2016-03-11,32.4,25.1,77.4,243.9
homagama,2016-03-12,32.1,25,78.8,251
homagama,2016-03-13,32.3,24.5,75.7,242.6
homagama,2016-03-14,32.3,24.6,75.5,268.9
homagama,2016-03-15,32.6,24,73.1,272.5
homagama,2016-03-16,33.2,24.1,74.8,256.7
homagama,2016-03-17,33.1,24.3,73.7,255.3
homagama,2016-03-18,32.7,24.4,73.8,258.9
homagama,2016-03-19,32.4,24,71.6,234
homagama,2016-03-20,32.3,23.6,72.8,258
homagama,2016-03-21,31.8,24,75.2,250.5
homagama,2016-03-22,33.1,23.8,72.8,226
homagama,2016-03-23,34.3,23.6,70.2,242.3
homagama,2016-03-24,32.5,23.9,71.4,265.3
homagama,2016-03-25,32.9,23.9,72,288.6
homagama,2016-03-26,33,23.8,71.3,285.1
homagama,2016-03-27,33.3,24,70.9,249.1
homagama,2016-03-28,33.1,24,76.1,249.6
homagama,2016-03-29,32.9,23.2,73.7,260
homagama,2016-03-30,32.6,23.3,75.4,228.1
homagama,2016-03-31,32.8,23.2,73.2,262.7
homagama,2016-04-01,32.6,23.6,72.5,247.2
homagama,2016-04-02,33.1,23.2,70.8,265.9
homagama,2016-04-03,33.2,23.4,69.9,268.3
homagama,2016-04-04,33.1,23.9,72.5,251
homagama,2016-04-05,33.1,23.7,71.4,239.6
homagama,2016-04-06,33.1,24,71.7,271.4
homagama,2016-04-07,33.6,23.7,72.4,250.2
homagama,2016-04-08,33.7,24.3,72.6,249.7
homagama,2016-04-09,33.4,24.9,74.8,282.3
homagama,2016-04-10,32.7,24.8,76.9,265.4
homagama,2016-04-11,33.2,24.4,72.4,269.8
homagama,2016-04-12,33.4,25.1,73.2,259.2
homagama,2016-04-13,33.6,25.5,76.2,236.8
homagama,2016-04-14,33.7,25.4,76.5,243.8
homagama,2016-04-15,33.8,25.2,77.6,243.4
homagama,2016-04-16,33.1,25.2,76.9,233.3
homagama,2016-04-17,33.1,24.8,78.2,244.4
homagama,2016-04-18,34.1,24.7,74.6,255.9
homagama,2016-04-19,32.3,25,83.7,210.5
homagama,2016-04-20,33.1,24.7,83.2,210.1
homagama,2016-04-21,33.1,24.8,79.6,236.9
homagama,2016-04-22,33.3,25,76.2,236.5
homagama,2016-04-23,34.1,25.5,75,208.6
homagama,2016-04-24,33.7,24.8,72.7,246.4
homagama,2016-04-25,33.6,25.2,72.8,255
homagama,2016-04-26,33.1,24.7,76.6,201.7
homagama,2016-04-27,34.1,24.3,77.6,260.2
homagama,2016-04-28,33.9,24.4,75.8,260.4
homagama,2016-04-29,34.1,24.4,74,263.3
homagama,2016-04-30,33.3,24.2,80.2,250.3
homagama,2016-05-01,33.1,24.3,80.3,248
homagama,2016-05-02,33.2,24.9,77,215.8
homagama,2016-05-03,33.3,24.7,76.5,235.5
homagama,2016-05-04,33.7,24.7,77.4,242.2
homagama,2016-05-05,32.4,24.8,77.6,254.2
homagama,2016-05-06,31.3,24.5,79,219.2
homagama,2016-05-07,33.1,24.3,76.1,134.7
homagama,2016-05-08,33.1,24.8,83.1,206
homagama,2016-05-09,33.1,24.3,83.3,217.6
homagama,2016-05-10,33.1,24.1,81.1,177.5
homagama,2016-05-11,32.1,24.3,84.2,129
homagama,2016-05-12,31.1,23.9,84,95.8
